Price_Mbtu,Year,DayOfYear,LogReturn,Week
5.77,2010,1,,53
5.818,2010,8,0.008284479553001803,1
5.61,2010,15,-0.03640584053840482,2
5.625,2010,22,0.002670228555878892,3
5.35,2010,29,-0.050124387182568744,4
5.448,2010,36,0.018152007939296277,5
5.37,2010,43,-0.01442066032643798,6
5.228,2010,50,-0.026799112758797834,7
4.816,2010,57,-0.08208508775545556,8
4.664,2010,64,-0.0320702589583287,9
4.49,2010,71,-0.03802074729402817,10
4.26,2010,78,-0.052583541472883966,11
4.034,2010,85,-0.05451072074925899,12
3.943,2010,92,-0.02281658463652987,13
4.086,2010,99,0.03562464149994035,14
4.08,2010,106,-0.0014695079793599947,15
4.054,2010,113,-0.006392940386262016,16
4.13,2010,120,0.01857335894313303,17
3.99,2010,127,-0.0344861760711692,18
4.246,2010,134,0.062186132379292304,19
4.21,2010,141,-0.008514715586774456,20
4.172,2010,148,-0.009067110555764112,21
4.54,2010,155,0.0845314749147306,22
4.768,2010,162,0.048999917709791924,23
5.068,2010,169,0.061019332695843934,24
4.808,2010,176,-0.052665065225986095,25
4.685,2010,183,-0.025915281542521037,26
4.513,2010,190,-0.03740379484552135,27
4.432,2010,197,-0.01811117139988132,28
4.566,2010,204,0.02978659866262087,29
4.762,2010,211,0.04203019995706728,30
4.63,2010,218,-0.028110879966528297,31
4.314,2010,225,-0.07069132013117803,32
4.206,2010,232,-0.025353470686456547,33
3.89,2010,239,-0.07810291965015319,34
3.816,2010,246,-0.019206404044314954,35
3.828,2010,253,0.0031397200046678463,36
3.998,2010,260,0.04345176248750048,37
3.922,2010,267,-0.01919250830405377,38
3.85,2010,274,-0.018528579474461678,39
3.722,2010,281,-0.0338119900796339,40
3.626,2010,288,-0.02613104588739974,41
3.436,2010,295,-0.0538221082106504,42
3.578,2010,302,0.04049598096451851,43
3.868,2010,309,0.07793359250452055,44
4.016,2010,316,0.03754880479838023,45
3.974,2010,323,-0.010513238259802956,46
4.3,2010,330,0.0788418785698916,47
4.27,2010,337,-0.007001195458983588,48
4.47,2010,344,0.04577458138494433,49
4.204,2010,351,-0.06135195561077274,50
4.133,2010,358,-0.01703291748510933,51
4.274,2010,365,0.03354662136736064,52
4.528,2011,7,0.05773018400392591,1
4.455,2011,14,-0.01625327997810907,2
4.604,2011,21,0.03289842993686367,3
4.436,2011,28,-0.03717242137151568,4
4.37,2011,35,-0.014990060380621752,5
4.016,2011,42,-0.08447662671807071,6
3.913,2011,49,-0.025982039161152694,7
3.891,2011,56,-0.005638149225858816,8
3.863,2011,63,-0.00722211031827226,9
3.888,2011,70,0.00645080291404842,10
4.024,2011,77,0.034381546199245445,11
4.279,2011,84,0.061442904637241696,12
4.344,2011,91,0.015076245196954727,13
4.153,2011,98,-0.04496461798301805,14
4.153,2011,105,0.0,15
4.281,2011,112,0.030355662514192604,16
4.484,2011,119,0.04632887804710456,17
4.487,2011,126,0.0006688217839328721,18
4.204,2011,133,-0.06514787397914165,19
4.204,2011,140,0.0,20
4.383,2011,147,0.041696968421967545,21
4.699,2011,154,0.06961629868400641,22
4.787,2011,161,0.018554190289693354,23
4.508,2011,168,-0.06005031423284207,24
4.289,2011,175,-0.04979999064278649,25
4.323,2011,182,0.007896000150751497,26
4.23,2011,189,-0.021747612627308142,27
4.39,2011,196,0.037127234028893216,28
4.475,2011,203,0.019177124639738637,29
4.303,2011,210,-0.03919389787035602,30
4.063,2011,217,-0.05739083685087291,31
4.02,2011,224,-0.010639714374659989,32
3.944,2011,231,-0.019086465890540645,33
3.933,2011,238,-0.002792943290716542,34
3.948,2011,245,0.003806628121562767,35
3.943,2011,252,-0.0012672666757450222,36
3.918,2011,259,-0.0063605353731410645,37
3.753,2011,266,-0.043025799369465274,38
3.756,2011,273,0.0007990411931325426,39
3.581,2011,280,-0.04771247032972077,40
3.576,2011,287,-0.00139723370502792,41
3.617,2011,294,0.011400095658693248,42
3.66,2011,301,0.011818194443314044,43
3.805,2011,308,0.03885284390037437,44
3.665,2011,315,-0.03748765597503443,45
3.386,2011,322,-0.07917905162767125,46
3.454,2011,329,0.019883696013543395,47
3.556,2011,336,0.029103337927171142,48
3.429,2011,343,-0.03636764417087495,49
3.185,2011,350,-0.07381638445665657,50
3.132,2011,357,-0.016780510895570023,51
3.053,2011,364,-0.025547064375815904,52
3.033,2012,6,-0.006572485046296781,1
2.819,2012,13,-0.0731700165744685,2
2.406,2012,20,-0.15841659457948834,3
2.618,2012,27,0.08444504993522098,4
2.53,2012,34,-0.03419136474827931,5
2.485,2012,41,-0.017946643190836827,6
2.528,2012,48,0.017155816736019073,7
2.61,2012,55,0.031921745049990895,8
2.506,2012,62,-0.04066236486072558,9
2.322,2012,69,-0.07625897319817666,10
2.291,2012,76,-0.013440479804341323,11
2.318,2012,83,0.011716341446201475,12
2.18,2012,90,-0.06137986811656226,13
2.142,2012,97,-0.01758490477544076,14
2.017,2012,104,-0.06012871305348232,15
1.95,2012,111,-0.03378188639641928,16
2.054,2012,118,0.05195973893071096,17
2.306,2012,125,0.11572531034050085,18
2.438,2012,132,0.05566360921221245,19
2.577,2012,139,0.05544790061114823,20
2.654,2012,146,0.029442004239787708,21
2.399,2012,153,-0.10101595205245824,22
2.371,2012,160,-0.011740176774289093,23
2.319,2012,167,-0.022175748809873858,24
2.581,2012,174,0.10704086246308224,25
2.756,2012,181,0.06560343241493527,26
2.861,2012,188,0.037390860916561214,27
2.844,2012,195,-0.0059597021269788405,28
2.93,2012,202,0.0297909110879816,29
3.098,2012,209,0.05575431896570075,30
3.078,2012,216,-0.0064767065779894216,31
2.904,2012,223,-0.05819093845413777,32
2.751,2012,230,-0.05412461502011213,33
2.776,2012,237,0.009046560702120465,34
